id,name,buildingId,floorId
14740,174-3021-clwb-174,10078,13236
14741,174-3021-clwc-174,10078,13236
14742,180-3021-clwa-180,10078,13236
14743,183-3021-clwa-183,10078,13236
14744,189-3021-clwa-189,10078,13236
14745,192-3021-clwa-192,10078,13236
14746,193-3021-clwa-193,10078,13236
14747,209-3022-clwa-209,10078,13237
14748,213-3022-clwa-213,10078,13237
14749,219-3022-clwa-219,10078,13237
14750,243-3022-clwa-243,10078,13237
14751,249-3022-clwa-249,10078,13237
14752,253-3022-clwa-253,10078,13237
14753,259-3022-clwa-259,10078,13237
14754,346-3023-clwa-346,10078,13363
14755,360-3023-clwa-360,10078,13363
14756,364-3023-clwa-364,10078,13363
14757,364-3023-clwb-364,10078,13363
14758,408-3024-clwa-408,10078,13364
14759,424-3024-clwa-424,10078,13364
14760,432-3024-clwa-432,10078,13364
14761,458-3024-clwa-458,10078,13364
14762,115hall-3031-clwa-115hall,10007,13238
14763,152hall-3031-clwa-152hall,10007,13238
14764,201-3032-clwa-201,10007,13365
14765,202-3032-clwa-202,10007,13365
14766,203-3032-clwa-203,10007,13365
14767,204-3032-clwa-204,10007,13365
14768,305-3033-clwa-305,10007,13366
14769,325-3033-clwa-325,10007,13366
14770,331-3033-clwa-331,10007,13366
14771,355-3033-clwa-355,10007,13366
14772,408b-3034-clwa-408b,10007,13367
14773,416hall-3034-clwa-416hall,10007,13367
14774,444hall-3034-clwa-444hall,10007,13367
14775,502hall-3035-clwa-502hall,10007,13368
14776,529hall-3035-clwa-529hall,10007,13368
14777,609hall-3036-clwa-609hall,10007,13369
14778,621hall-3036-clwa-621hall,10007,13369
14779,637hall-3036-clwa-637hall,10007,13369
14780,649hall-3036-clwa-649hall,10007,13369
14781,652-3036-clwa-652,10007,13369
14782,702hall-3037-clwa-702hall,10007,13370
14783,729hall-3037-clwa-729hall,10007,13370
14784,816hall-3038-clwa-816hall,10007,13371
14785,844hall-3038-clwa-844hall,10007,13371
14786,902hall-3039-clwa-902hall,10007,13372
14787,929hall-3039-clwa-929hall,10007,13372
14788,100-3041-clwa-100,10011,13373
14789,136-3041-clwa-136,10011,13373
14790,162-3041-clwa-162,10011,13373
