"space_id","space_name","space_type","building_id","floor_id","lattitude","longitude"
862,"135-0411-clwa-135",Room,72,266,,
1849,"2013-2222-clwa-2013",Room,22,430,,
1788,"5226-2135-clwa-5226",Room,126,421,,
1933,"5440hall-3085-clwa-5440hall",Room,27,437,,
1378,"251-4002-clwa-251",Room,66,344,,
2461,beach-c042b-clwb-beach,Room,139,500,,
1819,"5304-2145-clwa-5304",Room,71,426,,
981,"4000-0084-clwa-4000",Room,3,286,,
1872,"5500-2225-clwa-5500",Room,22,433,,
1890,"2130-3082-clwa-2130",Room,27,434,,
2280,"4216-6114-clwa-4216",Room,134,479,,
1968,"3051-3143-clwa-3051",Room,128,440,,
555,inspector-0971-clwa-inspector,Room,13,174,,
579,sorting-1024-clwa-sorting,Room,5,179,,
545,-518-clwa,Room,9,170,,
2153,"2130-5192-clwa-2130",Room,75,474,,
1373,"192-4001-clwa-192",Room,66,343,,
933,"2090-0082-clwa-2090",Room,3,163,,
1287,"189-3021-clwa-189",Room,25,195,,
2316,"3026-7213-clwa-3026",Room,47,485,,
1165,g308-113g3-clwa-g308,Room,17,301,,
1826,"1306-2151-clwa-1306",Room,127,427,,
1460,"100-5011-clwc-100",Room,106,356,,
1256,"117-2211-clwa-117",Room,21,191,,
2094,"1132hall-5031-clwa-1132hall",Room,74,464,,
1719,"140-8391-clwc-140",Room,81,407,,
588,elev-hallway-2014-clwa-elev-hallway,Room,18,185,,
2464,"23-cpt1-clwa-023",Room,141,502,,
1744,"40-8393-clwb340",Room,81,409,,
2419,"1206hall-8501-clwa-1206hall",Room,55,238,,
832,"1082hall-0031-clwa-1082hall",Room,65,263,,
2457,"200-c042-clwf-200",Room,139,500,,
929,"2060-0082-clwa-2060",Room,3,163,,
1288,"192-3021-clwa-192",Room,25,195,,
2059,"3300-4023-clwa-3300",Room,130,455,,
1278,"171-2361-clwa-171",Room,94,323,,
1953,"1500-3141-clwb-1500",Room,128,438,,
1179,"100-2001-clwe-100",Room,85,304,,
1137,c214-113c2-clwa-c214,Room,17,303,,
1538,"300-6003-clwa-300",Room,109,369,,
2523,"100-t201-clwe-100",Room,151,515,,
1330,"929hall-3039-clwa-929hall",Room,26,333,,
624,atrium-5062-clwa-atrium,Room,32,205,,
1004,b701hall-845b-clwa-b701hall,Room,54,287,,
1864,"4300-2224-clwa-4300",Room,22,432,,
1242,"340-2103-clwa-340",Room,20,311,,
2380,"1305b-8431-clwa-1305b",Room,82,494,,
1946,"1423-3141-clwa-1423",Room,128,438,,
941,"3040-0083-clwa-3040",Room,3,281,,
755,pressbox-9171-clwa-pressbox,Room,61,246,,
2068,"4400-4024-clwa-4400",Room,130,456,,
845,"2008-0032-clwa-2008",Room,65,264,,
1734,"250-8392-clwa-250",Room,81,408,,
1764,"2300-1052-clwa-2300",Room,16,294,,
1624,"190-7141-clwa-190",Room,111,380,,
2035,"2141-4012-clwa-2141",Room,30,449,,
1668,c610hall-8171-clwa-c610hall,Room,120,396,,
2168,"3400-5193-clwa-3400",Room,75,475,,
1725,"164hall-8391-clwa-164hall",Room,81,407,,
1861,"3410-2223-clwa-3410",Room,22,431,,
1061,"256k-1112-clwa-256k",Room,63,296,,
1236,"226j-hall-2102-clwa-226j-hall",Room,20,310,,
549,pool-903b-clwa-pool,Room,10,171,,
1531,"159hall-6001-clwa-159hall",Room,109,367,,
1010,g347hall-850b-clwa-g347hall,Room,55,288,,
